platform,product_id,product_name,order_id,date,selling_price,platform_fee,shipping_cost,cogs,quantity,return_flag,rating
amazon,SKU-001,Cotton Kurta Set,AMZ-10001,2024-01-01,899,134.85,60,380,1,0,4.5
amazon,SKU-002,Stainless Steel Bottle,AMZ-10002,2024-01-01,499,74.85,60,180,2,0,5.0
amazon,SKU-003,Wireless Earbuds,AMZ-10003,2024-01-02,1499,224.85,60,650,1,0,4.0
flipkart,SKU-001,Cotton Kurta Set,FK-20001,2024-01-01,849,101.88,45,380,1,0,4.0
flipkart,SKU-004,Yoga Mat Premium,FK-20002,2024-01-02,649,77.88,45,250,1,1,3.5
flipkart,SKU-006,Herbal Face Wash,FK-20003,2024-01-03,329,39.48,45,110,3,0,4.8
meesho,SKU-001,Cotton Kurta Set,MEE-30001,2024-01-01,699,34.95,30,380,2,1,3.8
meesho,SKU-005,Leather Wallet,MEE-30002,2024-01-02,449,22.45,30,220,1,1,3.0
meesho,SKU-006,Herbal Face Wash,MEE-30003,2024-01-03,279,13.95,30,110,5,0,4.2
amazon,SKU-007,Dumbbell Set 10kg,AMZ-10004,2024-01-04,1899,284.85,60,820,1,0,4.3
flipkart,SKU-003,Wireless Earbuds,FK-20004,2024-01-04,1399,167.88,45,650,1,0,4.1
meesho,SKU-008,Ceramic Coffee Mug,MEE-30004,2024-01-05,229,11.45,30,90,4,0,4.6
amazon,SKU-008,Ceramic Coffee Mug,AMZ-10005,2024-01-05,299,44.85,60,90,2,0,4.8
flipkart,SKU-007,Dumbbell Set 10kg,FK-20005,2024-01-06,1799,215.88,45,820,1,0,4.0
meesho,SKU-002,Stainless Steel Bottle,MEE-30005,2024-01-06,399,19.95,30,180,3,0,4.3
